MandatedUserKeyCounterpartyFirm,MandatedUserKeyCounterpartyCentre,MandatedUserKeyUserName,Type,TelephoneNumber,EmailAddress,SystemUser,Notify,Active,LEI,FirstName,Surname,DateOfBirth,Postcode,NationalIDNo,PassportNo,Country,InternalId,InternalDeleted,Ident,idComposite,GDPRReviewDate
ALBLRUGBY,CAN,Dane Coles,Undefined,,,,0,1,,,,1987-05-11,,,,,72,NULL,3,ALBLRUGBY!CAN,NULL
ALBLRUGBY,CAN,Kieran Read,Undefined,,,,0,1,,,,1997-08-25,,,,,73,NULL,4,ALBLRUGBY!CAN,NULL
AMD Tech,WEB,AMD Tech 1,Both,+353123456,aa@email.com,Super,0,1,529900XPUGCVCW007409,Arthur,Austin,2003-02-01,Dublin 11,1234564,42342342,ROI,74,NULL,25,AMD Tech!WEB,NULL
AMD Tech,WEB,AMD Tech 2,Both,+353123789,bb@email.com,JuniorDealer,0,1,529900XPUGCVCW007409,Ben,Brown,1997-07-05,Dublin 11,1234567,67238432,ROI,75,NULL,26,AMD Tech!WEB,NULL
Anybank,LON,ESL User,Undefined,,,eT-external-OBO3,0,1,1.11112222233333E+19,,,NULL,,,,,77,NULL,5,Anybank!LON,NULL
Anybank,LON,eT-external-direct,Both,,,Super,0,1,213800UC6P2P7NTJ4C86,,,NULL,,,,,79,NULL,10,Anybank!LON,NULL
Anybank,LON,eT-external-OBO3,Undefined,,,,0,1,,,,NULL,,,,,78,NULL,6,Anybank!LON,NULL
Anybank,MAR,ESL User,Undefined,,,,0,1,4.44443333322222E+19,,,NULL,,,,,80,NULL,12,Anybank!MAR,NULL
Anybank,PAY,Payment User,Web,,,Super,0,1,529900PILCZJZP9T1438,,,NULL,,,,GBR,81,NULL,11,Anybank!PAY,NULL
Anybank,PAY,Payment User No Auth,None,,,Super,0,1,529900PILCZJZP9T1438,,,NULL,,,,GBR,82,NULL,21,Anybank!PAY,NULL
Anybank,PAY,PmtUserComp,Phone,,,Super,0,1,529900PILCZJZP9T1438,,,NULL,,,,,83,NULL,19,Anybank!PAY,NULL
AXBasis,LON,Fred,Phone,,,,0,1,FredJones16789.1,,,NULL,,,,,76,NULL,15,AXBasis!LON,NULL
Bank 1,LON,Jeff Martins,Undefined,,jeff@bank.com,,0,1,213800S8K5XZJ2K6OB13,Jeff,Martins,NULL,,,,,108,2018-02-27 11:07:35.4800000,48,Bank 1!LON,NULL
Bank_1,LON,Jeff Martins,Undefined,,jeff@bank.com,,0,1,213800S8K5XZJ2K6OB13,Jeff,Martins,NULL,,,,,138,NULL,48,Bank_1!LON,NULL
Barclays,EST,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,122,2018-06-21 08:20:34.7400000,57,Barclays!EST,NULL
Barclays,LON,eT-external-OBO2,Web,,,eT-external-OBO2,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,G5GSEF7VJP5I7OUK5573,,86,2018-06-21 08:20:34.7300000,20,Barclays!LON,NULL
Barclays,LON,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,84,2018-06-21 08:20:34.6933333,16,Barclays!LON,NULL
Barclays,LON,OllyWeb,Phone,,,Super,0,1,,,,NULL,,,BarclaysPassportNo99,,85,2017-08-17 12:51:45.3233333,17,Barclays!LON,NULL
Barclays,LTU,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,121,2018-06-21 08:20:34.6800000,56,Barclays!LTU,NULL
Barclays,LVA,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,123,2018-06-21 08:20:34.7166667,58,Barclays!LVA,NULL
ABC,EST,Dorothy W. Arner,Both,696 1405,dorothy@jourrapide.com,,0,1,529900LL1DCD2CTMGU59,Dorothy,Arner,1952-12-20,74313,3759771627,71556439,FRA,148,NULL,51,ABC!EST,NULL
ABC,EST,Maik Fuhrmann,Both,+49 07231 87 69 67,MaikFuhrmann@jourrapide.com,,1,1,529900LL1DCD2CTMGU59,Maik,"Fuhrmann ",1997-03-24,75173,T22000129,C01X00T47,DEU,10148,NULL,76,ABC!EST,NULL
SAXO,WEB,Lone Fønss Schrøder,Undefined,,,,1,1,,,,NULL,,,,,10149,NULL,77,SAXO!WEB,NULL
BARCLAYS,LTU,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,10150,NULL,56,BARCLAYS!LTU,NULL
BARCLAYS,LON,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,10151,NULL,16,BARCLAYS!LON,NULL
BARCLAYS,NAI,Mr Barclay,Web,,,,0,1,529900PILCZJZP9T1438,,,NULL,,,BarclaysPassportNo99,,10152,NULL,29,BARCLAYS!NAI,NULL
BARCLAYS,LVA,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,10153,NULL,58,BARCLAYS!LVA,NULL
BARCLAYS,LON,eT-external-OBO2,Web,,,eT-external-OBO2,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,G5GSEF7VJP5I7OUK5573,,10154,NULL,20,BARCLAYS!LON,NULL
BARCLAYS,EST,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,10155,NULL,57,BARCLAYS!EST,NULL
TELIA,WEB,Juris Kruminš,Phone,,,,0,0,,Juris,Kruminš,NULL,,,,,10156,NULL,78,TELIA!WEB,NULL
TELIA,WEB,Juris Kruminš,Phone,,,,0,1,,Juris,Kruminš,NULL,,,,,10157,NULL,78,TELIA!WEB,NULL
Barclays,NAI,Mr Barclay,Web,,,,0,1,529900PILCZJZP9T1438,,,NULL,,,BarclaysPassportNo99,,87,2018-06-21 08:20:34.7066667,29,Barclays!NAI,NULL
Bath,BAT,Miss Jones,Undefined,,,,0,0,,,,NULL,,,,,136,NULL,70,Bath!BAT,NULL
BOE,LON,Edward Eurobase,Both,,,SuperMIFID,0,1,980367EURO8219KGH09G,Edward,Eurobase,1974-10-10,,FL875418H,90872901,GBR,111,NULL,50,BOE!LON,NULL
Citi,NYK,Mr Barclay,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,135,NULL,69,Citi!NYK,NULL
DEF,LVA,Armen Ignatieff,Both,797 9160,ArmenIgnatieff@armyspy.com,,0,1,2138004VLUHX19Z52375,Armen,Ignatieff,1991-04-21,63213,1918722800,45765133,LVA,116,NULL,53,DEF!LVA,NULL
DEF,LVA,Zarina Loginova,Both,761 1170,ZarinaLoginova@dayrep.com,,0,1,2138004VLUHX19Z52375,Zarina,Loginova,1976-02-27,67505,7801989354,30534845,LVA,117,NULL,54,DEF!LVA,NULL
Disney,LON,David J. Kim,Both,077 0464 4089,david@disney.com,defuser1,0,1,969500FZ2VNB81C46W67,David,Kim,1982-03-09,SY14 2XT,"WL 73 84 80 A ",52989988,GBR,119,2018-03-14 12:40:26.3200000,44,Disney!LON,NULL
Disney,LON,Dorothy W. Arner,Both,"078 6787 8195 ",dorothy@disney.com,defuser2,0,1,969500FZ2VNB81C46W67,Dorothy,Warner,1992-07-29,DG9 7TR,HT 86 98 90 A,5177907864,GBR,120,2018-03-14 12:40:26.2933333,43,Disney!LON,NULL
Disney,LON,Henry M. Mattos,Both,078 1049 5578,henry@disney.com,henrytel,0,1,969500FZ2VNB81C46W67,Henry,Mattos,1993-08-24,KW1 3RL,JW 27 29 31 B,"8763593067 ",GBR,141,2018-03-14 12:40:26.3033333,42,Disney!LON,NULL
Disney,WEB,David J. Kim,Both,077 0464 4089,david@disney.com,dorothytel,0,1,969500FZ2VNB81C46W67,David,Kim,1982-03-09,SY14 2XT,"WL 73 84 80 A ",52989988,GBR,144,NULL,44,Disney!WEB,NULL
Disney,WEB,Dorothy W. Arner,Both,"078 6787 8195 ",dorothy@disney.com,davidtel,0,1,969500FZ2VNB81C46W67,Dorothy,Warner,1992-07-29,DG9 7TR,HT 86 98 90 A,5177907864,GBR,142,NULL,43,Disney!WEB,NULL
Disney,WEB,Henry M. Mattos,Both,078 1049 5578,henry@disney.com,henrytel,0,1,969500FZ2VNB81C46W67,Henry,Mattos,1993-08-24,KW1 3RL,JW 27 29 31 B,"8763593067 ",GBR,143,NULL,42,Disney!WEB,NULL
DNB,EST,Mr Magnus Jenson,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,124,NULL,59,DNB!EST,NULL
DNB,LTU,Mr Magnus Jenson,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,125,NULL,60,DNB!LTU,NULL
DNB,LVA,Mr Magnus Jenson,Both,,,,0,1,G5GSEF7VJP5I7OUK5573,,,NULL,,,BarclaysPassportNo99,,126,NULL,61,DNB!LVA,NULL
Eurobase,LON,David Eurobase,Undefined,,,SuperDF,0,1,983788EURO12967GQZX0,David,Eurobase,1960-07-03,,DE902781H,90678549,GBR,88,NULL,35,Eurobase!LON,NULL
Eurobase,LON,Edward Eurobase,Undefined,,,SuperMIFID,0,1,980367EURO8219KGH09G,Edward,Eurobase,1974-10-10,,FL875418H,90872901,GBR,89,NULL,36,Eurobase!LON,NULL
Eurobase,LON,Liz Eurobase,Undefined,,,Super,0,1,549016EURO67ZXLIZ094,Liz,Eurobase,1985-09-11,,LE861023E,12345678,GBR,90,NULL,37,Eurobase!LON,NULL
Eurobase,LON,Matt Eurobase,Undefined,,,SuperMWT,0,1,867124EURO09881QVHY7,Matt,Eurobase,1979-11-12,,ME762092B,67223905,GBR,91,NULL,38,Eurobase!LON,NULL
Eurobase,LON,Norman Eurobase,Undefined,,,SuperNB,0,1,983657EURO289GVYD98F,Norman,Eurobase,1974-06-10,,NE372561B,28666541,GBR,92,NULL,40,Eurobase!LON,NULL
Eurobase,LON,Ollie Eurobase,Undefined,,,SuperOE,0,1,902711EURO783HYQ96VG,Ollie,Eurobase,1927-12-01,,OB980274V,36698025,GBR,93,NULL,39,Eurobase!LON,NULL
Eurobase,LON,Ronald Sales-Desk,Undefined,,,Salesdesk,0,1,876823EURO985ZZPQ9MP,Ronald,Sales-Desk,1954-04-04,,RS9878965D,87356644,GBR,105,NULL,41,Eurobase!LON,NULL
IRFU,ROI,Richardt Strauss,Undefined,,,,0,1,,,,NULL,,,,,94,NULL,7,IRFU!ROI,NULL
IRFU,ROI,Rory Best,Undefined,,,,0,1,,,,NULL,,,,,95,NULL,8,IRFU!ROI,NULL
IRFU,ROI,Sean Cronin,Undefined,,,,0,1,,,,NULL,,,,,96,NULL,9,IRFU!ROI,NULL
Loner,LON,Zoner,Web,12456014521,Zoner@gmail.com,SuperOE,0,1,,Jed,Zoner,NULL,,BoneID11111,BONEPID2222,GBR,97,NULL,14,Loner!LON,NULL
Luminor,EST,Mr Gustav Petersen,Both,,,,0,1,213800ZY8OD37RGI4E67,"Gustav ",Petersen,NULL,,,,,131,NULL,66,Luminor!EST,NULL
Luminor,LTU,Mr Gustav Petersen,Both,,,,0,1,213800ZY8OD37RGI4E67,"Gustav ",Petersen,NULL,,,,,132,NULL,67,Luminor!LTU,NULL
Luminor,LVA,Mr Gustav Petersen,Both,,,,0,1,213800ZY8OD37RGI4E67,"Gustav ",Petersen,NULL,,,,,133,NULL,68,Luminor!LVA,NULL
NORDEA,EST,Mr Lars Eriksson,Both,,,,0,1,6SCPQ280AIY8EP3XFW53,Lars,Eriksson,NULL,,,,,128,NULL,63,NORDEA!EST,NULL
NORDEA,HEL,Mr Lars Eriksson,Both,,,,0,1,,Lars,Eriksson,NULL,,,,,134,NULL,65,NORDEA!HEL,NULL
NORDEA,LON,Mr Lars Eriksson,Both,,,,0,1,6SCPQ280AIY8EP3XFW53,Lars,Eriksson,NULL,,,,,127,NULL,62,NORDEA!LON,NULL
NORDEA,LTU,Mr Lars Eriksson,Both,,,,0,1,6SCPQ280AIY8EP3XFW53,Lars,Eriksson,NULL,,,,,129,NULL,64,NORDEA!LTU,NULL
NORDEA,LVA,Mr Lars Eriksson,Both,,,,0,1,,Lars,Eriksson,NULL,,,,,130,2017-12-12 17:14:00.4466667,65,NORDEA!LVA,NULL
Poland,WSW,Pavel Topolski,Both,,,,0,1,529900A7YD9C0LLXM621,Pavel,Topolski,NULL,,,,,139,NULL,72,Poland!WSW,NULL
Q,_LE,Jeff Martins,Undefined,,jeff@bank.com,,0,1,,Jeff,Martings,NULL,,,,,107,2018-03-12 16:03:35.8733333,47,Q!_LE,NULL
Quebec,_LE,Jeff Martins,Undefined,,jeff@bank.com,,0,1,,Jeff,Martings,NULL,,,,,140,NULL,47,Quebec!_LE,NULL
RBS,LON,Miss Jones,Undefined,,,,0,0,,,,NULL,,,,,137,NULL,71,RBS!LON,NULL
Spk1,WEB,Spk 1 User,Web,,,Super,0,1,529900A7YD9C0LLXM621,Ben,Brown,NULL,,,,,98,NULL,22,Spk1!WEB,NULL
Spk1,WEB,Spk 1 User 2,Both,,,Super,0,1,529900A7YD9C0LLXM621,,,NULL,,,,,99,NULL,24,Spk1!WEB,NULL
Spk2,WEB,Sparkasse 2 User,Both,,,Super,0,1,529900PILCZJZP9T1438,,,NULL,,,,,100,NULL,23,Spk2!WEB,NULL
TELIA,WEB,David J. Kim,Both,077 0464 4089,david@telia.lt,dorothytel,0,1,969500FZ2VNB81C46W67,David,Kim,1982-03-09,SY14 2XT,"WL 73 84 80 A ",52989988,LIT,147,NULL,75,TELIA!WEB,NULL
TELIA,WEB,Dorothy W. Arner,Both,"078 6787 8195 ",dorothy@telia.lt,davidtel,0,1,969500FZ2VNB81C46W67,Dorothy,Warner,1992-07-29,DG9 7TR,HT 86 98 90 A,5177907864,LIT,146,NULL,74,TELIA!WEB,NULL
TELIA,WEB,Henry M. Mattos,Both,078 1049 5578,henry@telia.lt,henrytel,0,1,969500FZ2VNB81C46W67,Henry,Mattos,1993-08-24,KW1 3RL,JW 27 29 31 B,"8763593067 ",LIT,145,NULL,73,TELIA!WEB,NULL
VirginGrp,LON,Andrew Jones,Web,+440207432188,andrew@virgin.com,def@def.com,0,1,213800OP8IQALEBOMT88,Andrew,Jones,1976-05-21,RG27 9UP,YA289292C,655491536,GBR,101,NULL,32,VirginGrp!LON,NULL
VirginGrp,LON,Beth Wittaker,Web,+440207442188,beth@virgin.com,def@def.com,0,1,213800OP8IQALEBOMT88,Beth,Wittaker,1976-05-21,RG27 9UP,QA225292C,655431537,GBR,102,NULL,33,VirginGrp!LON,NULL
VirginGrp,LON,eT-internal-OBO,Both,,sales@bank.com,eT-internal-OBO,1,1,213800S8K5XZJ2K6OB13,Sales,Desk,1963-01-01,EC1M 4td,XXXXXXXX,829844949,GBR,106,2017-08-22 09:36:05.5633333,45,VirginGrp!LON,NULL
VirginGrp,LON,Holly Branson,Both,+440207432176,holly@virgin.com,abc@abc.com,0,0,213800OP8IQALEBOMT88,Holly,Branson,1981-11-21,RG27 9UP,YA289292C,651391553,GBR,103,NULL,34,VirginGrp!LON,NULL
VirginGrp,LON,Richard Branson,Both,+440207432176,richard@virgin.com,abc@abc.com,0,1,213800OP8IQALEBOMT88,Richard,Branson,1950-07-19,RG27 9UP,YA289292C,651391579,GBR,104,NULL,30,VirginGrp!LON,NULL
VirginGrp,LON,Sales Desk,Both,,sales@bank.com,eT-internal-OBO,1,1,213800S8K5XZJ2K6OB13,Sales,Desk,1963-01-01,EC1M 4td,XXXXXXXX,829844949,GBR,109,NULL,45,VirginGrp!LON,NULL
