key.counterparty.firm,key.counterparty.centre,key.name,currency,fullName,address,phoneNo,country,bic,iban,accountNo,fedWireNo,sortCode,bankName,bankPinCode,bankAddress,reason,bankSettlementAcct,intermediaryBankName,intermediaryBankAddress,intermediaryBankSwiftBic,intermediaryAcctNo,user,status
C-0264,CYP,EUR.0000264,EUR,EUR Account (EUR.0000264),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000264,,,ANZ Bank,,,,,,,,,,
C-0289,CYP,TRY.0000289,TRY,TRY Account (TRY.0000289),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000289,,,ANZ Bank,,,,,,,,,,
C-0301,CYP,EUR.0000301,EUR,EUR Account (EUR.0000301),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000301,,,ANZ Bank,,,,,,,,,,
C-0307,CYP,TRY.0000307,TRY,TRY Account (TRY.0000307),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000307,,,ANZ Bank,,,,,,,,,,
C-0310,CYP,TRY.0000310,TRY,TRY Account (TRY.0000310),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000310,,,ANZ Bank,,,,,,,,,,
C-0313,CYP,TRY.0000313,TRY,TRY Account (TRY.0000313),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000313,,,ANZ Bank,,,,,,,,,,
C-0316,CYP,TRY.0000316,TRY,TRY Account (TRY.0000316),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000316,,,ANZ Bank,,,,,,,,,,
C-0061,CYP,EUR.0000061,EUR,EUR Account (EUR.0000061),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000061,,,ANZ Bank,,,,,,,,,,
C-0063,CYP,TRY.0000063,TRY,TRY Account (TRY.0000063),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000063,,,ANZ Bank,,,,,,,,,,
C-0082,CYP,EUR.0000082,EUR,EUR Account (EUR.0000082),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000082,,,ANZ Bank,,,,,,,,,,
C-0096,CYP,TRY.0000096,TRY,TRY Account (TRY.0000096),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000096,,,ANZ Bank,,,,,,,,,,
C-0098,CYP,EUR.0000098,EUR,EUR Account (EUR.0000098),ANZ Bank New Zealand Limited\nPrivate Bag 92210\nVictoria St West\nAUCKLAND 1143,0801 473 473,NZ,ANZBAU3M,0,0000098,,,ANZ Bank,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
